Row 18, label PEFNTVTY, used 926: Columbia
Row 13062, label PEMNTVTY, used 184556: United-States
Row 13062, label PENATVTY, used 184556: United-States
Row 13109, label PEFNTVTY, used 0: United-States
Row 13192, label PEMNTVTY, used 44: United-States
Row 13194, label PEFNTVTY, used 9188: United-States
Row 13194, label PEMNTVTY, used 9188: United-States
Row 13194, label PENATVTY, used 9188: United-States
Row 13260, label PEFNTVTY, used 1114: United-States
Row 13260, label PEMNTVTY, used 1114: United-States
Row 13273, label PEFNTVTY, used 15: United-States
Row 13273, label PEMNTVTY, used 15: United-States
Row 13277, label PEFNTVTY, used 1393: United-States
Row 13277, label PEMNTVTY, used 1393: United-States
Row 13277, label PENATVTY, used 1393: United-States
Row 13330, label PENATVTY, used 411: United-States
Row 13341, label PEFNTVTY, used 179217: United-States
Row 13341, label PEMNTVTY, used 179217: United-States
Row 13341, label PENATVTY, used 179217: United-States
Row 13349, label PEMNTVTY, used 56: United-States
Row 13351, label PEFNTVTY, used 411: United-States
Row 13351, label PEMNTVTY, used 411: United-States
Row 13366, label PEFNTVTY, used 56566: Ecuador
Row 13366, label PEMNTVTY, used 56566: Ecuador
Row 13366, label PENATVTY, used 56566: Ecuador
Row 13377, label PEFNTVTY, used 9553: United-States
Row 13380, label PEFNTVTY, used 108: Mexico
Row 13398, label PEFNTVTY, used 46: United-States
Row 13398, label PEMNTVTY, used 46: United-States
Row 13421, label PEFNTVTY, used 67067: United-States
Row 13421, label PEMNTVTY, used 67067: United-States
Row 13441, label PEFNTVTY, used 53673: United-States
Row 13441, label PEMNTVTY, used 53673: United-States
Row 13496, label PEFNTVTY, used 3: United-States
Row 13500, label PEFNTVTY, used 199404: Hong Kong
Row 13500, label PEMNTVTY, used 199404: Hong Kong
Row 13500, label PENATVTY, used 199404: Hong Kong
Row 13506, label PENATVTY, used 71164: United-States
Row 13526, label PEFNTVTY, used 6556: United-States
Row 13526, label PEMNTVTY, used 6556: United-States
Row 13527, label PEFNTVTY, used 36425: United-States
Row 13527, label PEMNTVTY, used 36425: United-States
Row 13527, label PENATVTY, used 36425: United-States
Row 13561, label PENATVTY, used 6478: India
Row 13641, label PEFNTVTY, used 100: United-States
Row 13651, label PEFNTVTY, used 3225: United-States
Row 13651, label PEMNTVTY, used 3225: United-States
Row 13651, label PENATVTY, used 3225: United-States
Row 13709, label PEFNTVTY, used 385: United-States
Row 13709, label PEMNTVTY, used 385: United-States
Row 13721, label PEMNTVTY, used 1918: United-States
Row 13726, label PEFNTVTY, used 483: United-States
Row 13726, label PEMNTVTY, used 483: United-States
Row 13744, label PEFNTVTY, used 114: United-States
Row 13744, label PEMNTVTY, used 114: United-States
Row 13755, label PEFNTVTY, used 10862: United-States
Row 13770, label PEFNTVTY, used 114: United-States
Row 13770, label PEMNTVTY, used 114: United-States
Row 13776, label PEFNTVTY, used 1957: United-States
Row 13798, label PEFNTVTY, used 147064: United-States
Row 13849, label PEFNTVTY, used 46: United-States
Row 13849, label PEMNTVTY, used 46: United-States
Row 13855, label PEFNTVTY, used 34: United-States
Row 13855, label PEMNTVTY, used 34: United-States
Row 13855, label PENATVTY, used 34: United-States
Row 13900, label PEFNTVTY, used 11934: United-States
Row 13911, label PEFNTVTY, used 87: United-States
Row 13915, label PEFNTVTY, used 156469: Haiti
Row 13915, label PEMNTVTY, used 156469: Haiti
Row 13915, label PENATVTY, used 156469: Haiti
Row 13964, label PEFNTVTY, used 2647: United-States
Row 13993, label PEMNTVTY, used 166645: Dominican-Republic
Row 13993, label PENATVTY, used 166645: Dominican-Republic
Row 14018, label PEFNTVTY, used 15272: United-States
Row 14018, label PEMNTVTY, used 15272: United-States
Row 14130, label PEMNTVTY, used 17724: Guatemala
Row 14130, label PENATVTY, used 17724: Guatemala
Row 14155, label PEFNTVTY, used 44: United-States
Row 14187, label PEFNTVTY, used 46: United-States
Row 14187, label PEMNTVTY, used 46: United-States
Row 14248, label PEFNTVTY, used 1686: United-States
Row 14248, label PEMNTVTY, used 1686: United-States
Row 14429, label PEFNTVTY, used 473: United-States
Row 14429, label PEMNTVTY, used 473: United-States
Row 14429, label PENATVTY, used 473: United-States
Row 14451, label PEFNTVTY, used 6603: United-States
Row 14469, label PEFNTVTY, used 1114: United-States
Row 14469, label PEMNTVTY, used 1114: United-States
Row 14469, label PENATVTY, used 1114: United-States
Row 14529, label PEFNTVTY, used 56: United-States
Row 14540, label PEMNTVTY, used 3: United-States
Row 14549, label PEFNTVTY, used 33704: United-States
Row 14549, label PEMNTVTY, used 33704: United-States
Row 14549, label PENATVTY, used 33704: United-States
Row 14551, label PEFNTVTY, used 179: United-States
Row 14574, label PENATVTY, used 9963: United-States
Row 14600, label PEFNTVTY, used 330: United-States
Row 14600, label PENATVTY, used 330: United-States
Row 14601, label PEFNTVTY, used 715: United-States
Row 14611, label PEFNTVTY, used 25554: United-States
Row 14668, label PEFNTVTY, used 3: United-States
Row 14668, label PEMNTVTY, used 3: United-States
Row 14678, label PEFNTVTY, used 25352: Poland
Row 14678, label PEMNTVTY, used 25352: Poland
Row 14678, label PENATVTY, used 25352: Poland
Row 14686, label PEFNTVTY, used 13407: United-States
Row 14706, label PEFNTVTY, used 73990: United-States
Row 14706, label PEMNTVTY, used 73990: United-States
Row 14706, label PENATVTY, used 73990: United-States
Row 14728, label PEMNTVTY, used 60: United-States
Row 14765, label PEMNTVTY, used 15: United-States
Row 14801, label PEFNTVTY, used 15704: Cuba
Row 14801, label PEMNTVTY, used 15704: Cuba
Row 14827, label PEFNTVTY, used 3342: United-States
Row 14827, label PEMNTVTY, used 3342: United-States
Row 14844, label PEFNTVTY, used 203: Puerto-Rico
Row 14877, label PEFNTVTY, used 6768: United-States
Row 14877, label PEMNTVTY, used 6768: United-States
Row 14877, label PENATVTY, used 6768: United-States
Row 14878, label PENATVTY, used 926: Columbia
Row 14882, label PEFNTVTY, used 60: United-States
Row 14882, label PEMNTVTY, used 60: United-States
Row 14907, label PEFNTVTY, used 6647: United-States
Row 14907, label PEMNTVTY, used 6647: United-States
Row 14907, label PENATVTY, used 6647: United-States
Row 14945, label PEFNTVTY, used 3: United-States
Row 14945, label PEMNTVTY, used 3: United-States
Row 14967, label PEFNTVTY, used 385: United-States
Row 14967, label PEMNTVTY, used 385: United-States
Row 14995, label PEFNTVTY, used 17514: United-States
Row 14995, label PEMNTVTY, used 17514: United-States
Row 14997, label PEFNTVTY, used 1025: United-States
Row 15062, label PEMNTVTY, used 4169: United-States
Row 15062, label PENATVTY, used 4169: United-States
Row 15068, label PEFNTVTY, used 35117: United-States
Row 15068, label PEMNTVTY, used 35117: United-States
Row 15068, label PENATVTY, used 35117: United-States
Row 15083, label PEMNTVTY, used 2213: England
Row 15110, label PEMNTVTY, used 3: United-States
Row 15121, label PEFNTVTY, used 11684: United-States
Row 15121, label PEMNTVTY, used 11684: United-States
Row 15121, label PENATVTY, used 11684: United-States
Row 15139, label PEFNTVTY, used 64470: Puerto-Rico
Row 15139, label PEMNTVTY, used 64470: Puerto-Rico
Row 15158, label PEFNTVTY, used 99599: United-States
Row 15158, label PEMNTVTY, used 99599: United-States
Row 15158, label PENATVTY, used 99599: United-States
Row 15181, label PEFNTVTY, used 18177: United-States
Row 15181, label PEMNTVTY, used 18177: United-States
Row 15181, label PENATVTY, used 18177: United-States
Row 15204, label PEFNTVTY, used 23932: United-States
Row 15204, label PEMNTVTY, used 23932: United-States
Row 15233, label PEFNTVTY, used 473: United-States
Row 15233, label PEMNTVTY, used 473: United-States
Row 15233, label PENATVTY, used 473: United-States
Row 15244, label PEFNTVTY, used 154363: United-States
Row 15244, label PEMNTVTY, used 154363: Philippines
Row 15335, label PEMNTVTY, used 87: United-States
Row 15335, label PENATVTY, used 87: United-States
Row 15394, label PEMNTVTY, used 166077: United-States
Row 15394, label PENATVTY, used 166077: United-States
Row 15398, label PENATVTY, used 179: United-States
Row 15422, label PEFNTVTY, used 6452: Canada
Row 15424, label PEFNTVTY, used 14146: United-States
Row 15424, label PEMNTVTY, used 14146: Puerto-Rico
Row 15424, label PENATVTY, used 14146: United-States
Row 15432, label PEFNTVTY, used 0: United-States
Row 15432, label PEMNTVTY, used 0: United-States
Row 15432, label PENATVTY, used 0: United-States
Row 15469, label PEFNTVTY, used 8959: United-States
Row 15469, label PEMNTVTY, used 8959: United-States
Row 15469, label PENATVTY, used 8959: United-States
Row 15470, label PEMNTVTY, used 46552: United-States
Row 15497, label PEFNTVTY, used 22154: Cuba
Row 15497, label PEMNTVTY, used 22154: Cuba
Row 15500, label PEMNTVTY, used 170: Germany
Row 15557, label PEFNTVTY, used 111745: India
Row 15557, label PEMNTVTY, used 111745: India
Row 15557, label PENATVTY, used 111745: India
Row 15576, label PEFNTVTY, used 15: United-States
Row 15576, label PEMNTVTY, used 15: United-States
Row 15612, label PEFNTVTY, used 26729: United-States
Row 15612, label PEMNTVTY, used 26729: United-States
Row 15612, label PENATVTY, used 26729: United-States
Row 15629, label PEFNTVTY, used 43684: United-States
Row 15629, label PEMNTVTY, used 43684: United-States
Row 15629, label PENATVTY, used 43684: United-States
Row 15639, label PEFNTVTY, used 3: United-States
Row 15639, label PEMNTVTY, used 3: United-States
Row 15720, label PEFNTVTY, used 3010: United-States
Row 15720, label PEMNTVTY, used 3010: United-States
Row 15720, label PENATVTY, used 3010: United-States
Row 15724, label PEFNTVTY, used 3: United-States
Row 15724, label PEMNTVTY, used 3: United-States
Row 15724, label PENATVTY, used 3: United-States
Row 15729, label PEFNTVTY, used 2321: United-States
Row 15729, label PEMNTVTY, used 2321: United-States
Row 15729, label PENATVTY, used 2321: United-States
Row 15761, label PEFNTVTY, used 5469: United-States
Row 15761, label PEMNTVTY, used 5469: United-States
Row 15761, label PENATVTY, used 5469: United-States
Row 15787, label PEFNTVTY, used 9458: Philippines
Row 15787, label PEMNTVTY, used 9458: Philippines
Row 15787, label PENATVTY, used 9458: Philippines
Row 15820, label PEFNTVTY, used 411: United-States
Row 15830, label PEMNTVTY, used 6650: United-States
Row 15867, label PENATVTY, used 22: United-States
Row 15886, label PEFNTVTY, used 92866: Cuba
Row 15886, label PEMNTVTY, used 92866: Cuba
Row 15894, label PEFNTVTY, used 47662: United-States
Row 15894, label PEMNTVTY, used 47662: United-States
Row 15894, label PENATVTY, used 47662: United-States
Row 15906, label PEFNTVTY, used 1167: United-States
Row 15931, label PEFNTVTY, used 517: United-States
Row 15940, label PEFNTVTY, used 44: United-States
Row 15940, label PEMNTVTY, used 44: United-States
Row 16004, label PEFNTVTY, used 4695: United-States
Row 16004, label PEMNTVTY, used 4695: United-States
Row 16004, label PENATVTY, used 4695: United-States
Row 16030, label PEFNTVTY, used 7809: United-States
Row 16030, label PEMNTVTY, used 7809: United-States
Row 16030, label PENATVTY, used 7809: United-States
Row 16056, label PEFNTVTY, used 3711: United-States
Row 16056, label PEMNTVTY, used 3711: United-States
Row 16056, label PENATVTY, used 3711: United-States
Row 16081, label PEFNTVTY, used 10235: United-States
Row 16081, label PEMNTVTY, used 10235: United-States
Row 16081, label PENATVTY, used 10235: United-States
Row 16094, label PEMNTVTY, used 2692: United-States
Row 16136, label PENATVTY, used 2928: United-States
Row 16152, label PEFNTVTY, used 32167: Columbia
Row 16152, label PEMNTVTY, used 32167: Columbia
Row 16152, label PENATVTY, used 32167: Columbia
Row 16163, label PEFNTVTY, used 128040: United-States
Row 16163, label PEMNTVTY, used 128040: United-States
Row 16163, label PENATVTY, used 128040: United-States
Row 16175, label PEFNTVTY, used 179: United-States
Row 16175, label PEMNTVTY, used 179: United-States
Row 16206, label PEFNTVTY, used 87: United-States
Row 16206, label PEMNTVTY, used 87: United-States
Row 16206, label PENATVTY, used 87: United-States
Row 16229, label PEFNTVTY, used 3188: United-States
Row 16229, label PEMNTVTY, used 3188: United-States
Row 16229, label PENATVTY, used 3188: United-States
Row 16263, label PEFNTVTY, used 258: United-States
Row 16263, label PEMNTVTY, used 258: United-States
Row 16264, label PEFNTVTY, used 991: United-States
Row 16264, label PEMNTVTY, used 991: United-States
Row 16264, label PENATVTY, used 991: United-States
Row 16296, label PEFNTVTY, used 44141: United-States
Row 16316, label PEFNTVTY, used 39: Mexico
Row 16383, label PEFNTVTY, used 101451: United-States
Row 16458, label PEMNTVTY, used 3: United-States
Row 16460, label PEFNTVTY, used 10512: United-States
Row 16505, label PEFNTVTY, used 5473: United-States
Row 16505, label PEMNTVTY, used 5473: United-States
Row 16505, label PENATVTY, used 5473: United-States
Row 16525, label PEFNTVTY, used 46: United-States
Row 16525, label PEMNTVTY, used 46: United-States
Row 16525, label PENATVTY, used 46: United-States
Row 16542, label PEFNTVTY, used 19167: Portugal
Row 16542, label PEMNTVTY, used 19167: Portugal
Row 16542, label PENATVTY, used 19167: Portugal
Row 16550, label PEFNTVTY, used 176449: United-States
Row 16550, label PEMNTVTY, used 176449: El-Salvador
Row 16550, label PENATVTY, used 176449: El-Salvador
Row 16624, label PEFNTVTY, used 294: United-States
Row 16625, label PEFNTVTY, used 5380: United-States
Row 16650, label PENATVTY, used 3: United-States
Row 16670, label PEMNTVTY, used 45811: United-States
Row 16684, label PEFNTVTY, used 88: Vietnam
Row 16684, label PEMNTVTY, used 88: Vietnam
Row 16684, label PENATVTY, used 88: Vietnam
Row 16702, label PEFNTVTY, used 5064: United-States
Row 16702, label PEMNTVTY, used 5064: United-States
Row 16702, label PENATVTY, used 5064: United-States
Row 16719, label PEFNTVTY, used 3430: United-States
Row 16719, label PEMNTVTY, used 3430: United-States
Row 16723, label PEFNTVTY, used 8119: United-States
Row 16723, label PEMNTVTY, used 8119: United-States
Row 16723, label PENATVTY, used 8119: United-States
Row 16727, label PENATVTY, used 385: United-States
Row 16731, label PEFNTVTY, used 3: United-States
Row 16731, label PEMNTVTY, used 3: United-States
Row 16734, label PEFNTVTY, used 5507: United-States
Row 16734, label PEMNTVTY, used 5507: United-States
Row 16734, label PENATVTY, used 5507: United-States
Row 16738, label PEMNTVTY, used 8837: United-States
Row 16742, label PEMNTVTY, used 7991: United-States
Row 16758, label PEFNTVTY, used 179: United-States
Row 16758, label PEMNTVTY, used 179: United-States
Row 16758, label PENATVTY, used 179: United-States
Row 16787, label PEFNTVTY, used 3: United-States
Row 16787, label PEMNTVTY, used 3: United-States
Row 16787, label PENATVTY, used 3: United-States
Row 16797, label PEFNTVTY, used 5219: United-States
Row 16797, label PEMNTVTY, used 5219: United-States
Row 16800, label PEFNTVTY, used 950: United-States
Row 16848, label PENATVTY, used 64331: Philippines
Row 16877, label PEFNTVTY, used 8636: Portugal
Row 16877, label PEMNTVTY, used 8636: Portugal
Row 16877, label PENATVTY, used 8636: Portugal
Row 16879, label PEMNTVTY, used 294: United-States
Row 16882, label PEFNTVTY, used 12568: United-States
Row 16882, label PEMNTVTY, used 12568: United-States
Row 16890, label PEFNTVTY, used 953: United-States
Row 16890, label PEMNTVTY, used 953: United-States
Row 16890, label PENATVTY, used 953: United-States
Row 16929, label PEFNTVTY, used 893: United-States
Row 16929, label PEMNTVTY, used 893: United-States
Row 16941, label PEFNTVTY, used 633: United-States
Row 16941, label PENATVTY, used 633: United-States
Row 16947, label PEFNTVTY, used 7624: Nicaragua
Row 16947, label PEMNTVTY, used 7624: Nicaragua
Row 16947, label PENATVTY, used 7624: Nicaragua
Row 16993, label PEFNTVTY, used 61189: Jamaica
Row 16993, label PEMNTVTY, used 61189: Jamaica
Row 16993, label PENATVTY, used 61189: Jamaica
Row 17040, label PEMNTVTY, used 3702: United-States
Row 17058, label PEFNTVTY, used 807: United-States
Row 17058, label PEMNTVTY, used 807: United-States
Row 17071, label PEFNTVTY, used 2766: United-States
Row 17083, label PEFNTVTY, used 3: United-States
Row 17083, label PEMNTVTY, used 3: United-States
Row 17085, label PEFNTVTY, used 107: United-States
Row 17085, label PEMNTVTY, used 107: United-States
Row 17105, label PEFNTVTY, used 366: United-States
Row 17105, label PEMNTVTY, used 366: United-States
Row 17105, label PENATVTY, used 366: United-States
Row 17121, label PEFNTVTY, used 3030: Ecuador
Row 17121, label PEMNTVTY, used 3030: Columbia
Row 17125, label PEFNTVTY, used 187351: United-States
Row 17125, label PEMNTVTY, used 187351: United-States
Row 17125, label PENATVTY, used 187351: United-States
Row 17130, label PEFNTVTY, used 6073: United-States
Row 17130, label PEMNTVTY, used 6073: United-States
Row 17184, label PEFNTVTY, used 40302: United-States
Row 17194, label PEMNTVTY, used 119: United-States
Row 17220, label PEFNTVTY, used 39911: United-States
Row 17225, label PEFNTVTY, used 366: United-States
Row 17225, label PEMNTVTY, used 366: United-States
Row 17225, label PENATVTY, used 366: United-States
Row 17281, label PEFNTVTY, used 96191: China
Row 17281, label PEMNTVTY, used 96191: China
Row 17281, label PENATVTY, used 96191: China
Row 17321, label PEFNTVTY, used 3: United-States
Row 17376, label PEFNTVTY, used 2752: United-States
Row 17376, label PEMNTVTY, used 2752: United-States
Row 17376, label PENATVTY, used 2752: United-States
Row 17424, label PENATVTY, used 28967: United-States
Row 17453, label PEFNTVTY, used 65136: Mexico
Row 17453, label PEMNTVTY, used 65136: Mexico
Row 17454, label PEFNTVTY, used 17857: United-States
Row 17454, label PEMNTVTY, used 17857: United-States
Row 17454, label PENATVTY, used 17857: United-States
Row 17510, label PEFNTVTY, used 0: United-States
Row 17527, label PEFNTVTY, used 155: United-States
Row 17527, label PEMNTVTY, used 155: United-States
Row 17579, label PEFNTVTY, used 4851: Hong Kong
Row 17579, label PEMNTVTY, used 4851: United-States
Row 17579, label PENATVTY, used 4851: United-States
Row 17593, label PEFNTVTY, used 1611: Poland
Row 17593, label PEMNTVTY, used 1611: Germany
Row 17593, label PENATVTY, used 1611: Germany
Row 17674, label PEFNTVTY, used 6986: United-States
Row 17675, label PEFNTVTY, used 417: United-States
Row 17675, label PEMNTVTY, used 417: United-States
Row 17796, label PEFNTVTY, used 13693: United-States
Row 17796, label PEMNTVTY, used 13693: Poland
Row 17832, label PEFNTVTY, used 119: United-States
Row 17832, label PEMNTVTY, used 119: United-States
Row 17892, label PENATVTY, used 4830: United-States
Row 17895, label PEFNTVTY, used 385: United-States
Row 17895, label PEMNTVTY, used 385: United-States
Row 17907, label PEFNTVTY, used 517: United-States
Row 17907, label PEMNTVTY, used 517: United-States
Row 17917, label PEMNTVTY, used 11979: United-States
Row 17918, label PEFNTVTY, used 7540: United-States
Row 17918, label PEMNTVTY, used 7540: United-States
Row 17918, label PENATVTY, used 7540: United-States
Row 17942, label PEMNTVTY, used 44: United-States
Row 17979, label PEFNTVTY, used 473: United-States
Row 17979, label PEMNTVTY, used 473: United-States
Row 17986, label PEFNTVTY, used 2293: Holand-Netherlands
Row 17986, label PEMNTVTY, used 2293: Holand-Netherlands
Row 17986, label PENATVTY, used 2293: Holand-Netherlands
Row 18029, label PEMNTVTY, used 108: Mexico
Row 18089, label PEMNTVTY, used 114: United-States
Row 18101, label PEFNTVTY, used 26563: United-States
Row 18107, label PEFNTVTY, used 6411: Dominican-Republic
Row 18107, label PEMNTVTY, used 6411: Dominican-Republic
Row 18107, label PENATVTY, used 6411: Dominican-Republic
Row 18152, label PEMNTVTY, used 75237: United-States
Row 18167, label PEFNTVTY, used 1469: United-States
Row 18207, label PEFNTVTY, used 1448: United-States
Row 18207, label PEMNTVTY, used 1448: United-States
Row 18207, label PENATVTY, used 1448: United-States
Row 18215, label PEFNTVTY, used 872: United-States
Row 18215, label PEMNTVTY, used 872: United-States
Row 18215, label PENATVTY, used 872: United-States
Row 18223, label PEFNTVTY, used 51445: United-States
Row 18223, label PEMNTVTY, used 51445: United-States
Row 18223, label PENATVTY, used 51445: United-States
Row 18228, label PEFNTVTY, used 15454: Columbia
Row 18228, label PEMNTVTY, used 15454: Columbia
Row 18228, label PENATVTY, used 15454: Columbia
Row 18234, label PEFNTVTY, used 38664: United-States
Row 18249, label PEFNTVTY, used 3: United-States
Row 18260, label PEFNTVTY, used 179: United-States
Row 18260, label PEMNTVTY, used 179: United-States
Row 18260, label PENATVTY, used 179: United-States
Row 18291, label PEFNTVTY, used 473: United-States
Row 18291, label PEMNTVTY, used 473: United-States
Row 18291, label PENATVTY, used 473: United-States
Row 18313, label PEMNTVTY, used 794: United-States
Row 18335, label PEFNTVTY, used 1376: United-States
Row 18335, label PEMNTVTY, used 1376: United-States
Row 18335, label PENATVTY, used 1376: United-States
Row 18346, label PEMNTVTY, used 3: United-States
Row 18400, label PEFNTVTY, used 6507: United-States
Row 18400, label PEMNTVTY, used 6507: United-States
Row 18400, label PENATVTY, used 6507: United-States
Row 18410, label PEFNTVTY, used 29543: Mexico
Row 18410, label PEMNTVTY, used 29543: Mexico
Row 18410, label PENATVTY, used 29543: Mexico
Row 18419, label PEMNTVTY, used 8262: China
Row 18428, label PEFNTVTY, used 43149: United-States
Row 18460, label PEFNTVTY, used 1420: United-States
Row 18481, label PEFNTVTY, used 3: United-States
Row 18481, label PEMNTVTY, used 3: United-States
Row 18481, label PENATVTY, used 3: United-States
Row 18494, label PEFNTVTY, used 3: United-States
Row 18496, label PEMNTVTY, used 7758: Canada
Row 18499, label PEFNTVTY, used 1806: United-States
Row 18499, label PEMNTVTY, used 1806: United-States
Row 18510, label PEFNTVTY, used 1533: Ireland
Row 18510, label PEMNTVTY, used 1533: Ireland
Row 18513, label PEMNTVTY, used 3: United-States
Row 18544, label PEFNTVTY, used 2014: United-States
Row 18544, label PEMNTVTY, used 2014: United-States
Row 18544, label PENATVTY, used 2014: United-States
Row 18561, label PEFNTVTY, used 812: Poland
Row 18561, label PEMNTVTY, used 812: United-States
Row 18561, label PENATVTY, used 812: United-States
Row 18571, label PEFNTVTY, used 3702: United-States
Row 18571, label PEMNTVTY, used 3702: United-States
Row 18582, label PEFNTVTY, used 2794: United-States
Row 18587, label PEFNTVTY, used 9584: United-States
Row 18587, label PEMNTVTY, used 9584: United-States
Row 18587, label PENATVTY, used 9584: United-States
Row 18593, label PEMNTVTY, used 700: United-States
Row 18596, label PEFNTVTY, used 34: United-States
Row 18596, label PEMNTVTY, used 34: United-States
Row 18596, label PENATVTY, used 34: United-States
Row 18604, label PEFNTVTY, used 65: South Korea
Row 18607, label PEFNTVTY, used 177: United-States
Row 18649, label PEFNTVTY, used 65397: United-States
Row 18649, label PEMNTVTY, used 65397: United-States
Row 18671, label PEFNTVTY, used 566: United-States
Row 18671, label PEMNTVTY, used 566: United-States
Row 18699, label PEFNTVTY, used 35227: United-States
Row 18699, label PEMNTVTY, used 35227: United-States
Row 18699, label PENATVTY, used 35227: United-States
Row 18764, label PEFNTVTY, used 6647: United-States
Row 18780, label PEMNTVTY, used 53038: United-States
Row 18792, label PEFNTVTY, used 338: United-States
Row 18792, label PEMNTVTY, used 338: United-States
Row 18801, label PEFNTVTY, used 475: United-States
Row 18804, label PEFNTVTY, used 481: United-States
Row 18804, label PEMNTVTY, used 481: United-States
Row 18806, label PEMNTVTY, used 100: United-States
Row 18844, label PENATVTY, used 11722: United-States
Row 18854, label PEFNTVTY, used 788: United-States
Row 18855, label PEFNTVTY, used 46: United-States
Row 18855, label PEMNTVTY, used 46: United-States
Row 18893, label PEMNTVTY, used 3: United-States
Row 18934, label PEFNTVTY, used 43658: United-States
Row 18963, label PENATVTY, used 3: United-States
Row 18995, label PEFNTVTY, used 3086: United-States
Row 18995, label PEMNTVTY, used 3086: United-States
Row 18995, label PENATVTY, used 3086: United-States
Row 19081, label PEFNTVTY, used 19586: United-States
Row 19081, label PEMNTVTY, used 19586: United-States
Row 19081, label PENATVTY, used 19586: United-States
Row 19107, label PEFNTVTY, used 87: United-States
Row 19108, label PEFNTVTY, used 6768: United-States
Row 19113, label PEFNTVTY, used 44: United-States
Row 19147, label PEFNTVTY, used 44: United-States
Row 19161, label PEFNTVTY, used 92: United-States
Row 19161, label PEMNTVTY, used 92: United-States
Row 19182, label PEFNTVTY, used 1611: Poland
Row 19182, label PEMNTVTY, used 1611: Germany
Row 19182, label PENATVTY, used 1611: Germany
Row 19216, label PEFNTVTY, used 3: United-States
Row 19216, label PEMNTVTY, used 3: United-States
Row 19216, label PENATVTY, used 3: United-States
Row 19224, label PEFNTVTY, used 4233: Honduras
Row 19224, label PEMNTVTY, used 4233: Honduras
Row 19224, label PENATVTY, used 4233: Honduras
Row 19257, label PENATVTY, used 3: United-States
Row 19263, label PEFNTVTY, used 87: United-States
Row 19278, label PEFNTVTY, used 46: United-States
Row 19278, label PEMNTVTY, used 46: United-States
Row 19278, label PENATVTY, used 46: United-States
Row 19299, label PEFNTVTY, used 3193: Cuba
Row 19317, label PEFNTVTY, used 6936: United-States
Row 19318, label PEFNTVTY, used 2989: Thailand
Row 19318, label PEMNTVTY, used 2989: Thailand
Row 19318, label PENATVTY, used 2989: Thailand
Row 19345, label PEFNTVTY, used 11182: United-States
Row 19349, label PEFNTVTY, used 155: United-States
Row 19349, label PEMNTVTY, used 155: United-States
Row 19349, label PENATVTY, used 155: United-States
Row 19373, label PEFNTVTY, used 260: United-States
Row 19387, label PEFNTVTY, used 3: United-States
Row 19387, label PEMNTVTY, used 3: United-States
Row 19397, label PEFNTVTY, used 17923: United-States
Row 19397, label PEMNTVTY, used 17923: El-Salvador
Row 19397, label PENATVTY, used 17923: United-States
Row 19426, label PEMNTVTY, used 46: United-States
Row 19483, label PEFNTVTY, used 44: United-States
Row 19483, label PEMNTVTY, used 44: United-States
Row 19519, label PEFNTVTY, used 127: United-States
Row 19519, label PEMNTVTY, used 127: United-States
Row 19538, label PEFNTVTY, used 1428: Canada
Row 19538, label PEMNTVTY, used 1428: Canada
Row 19538, label PENATVTY, used 1428: Canada
Row 19589, label PEFNTVTY, used 99437: United-States
Row 19589, label PEMNTVTY, used 99437: United-States
Row 19589, label PENATVTY, used 99437: United-States
Row 19604, label PEFNTVTY, used 1291: Philippines
Row 19604, label PEMNTVTY, used 1291: Philippines
Row 19604, label PENATVTY, used 1291: Philippines
Row 19633, label PEFNTVTY, used 0: United-States
Row 19633, label PEMNTVTY, used 0: United-States
Row 19646, label PEFNTVTY, used 19040: United-States
Row 19646, label PEMNTVTY, used 19040: United-States
Row 19646, label PENATVTY, used 19040: United-States
Row 19648, label PEFNTVTY, used 3: United-States
Row 19648, label PEMNTVTY, used 3: United-States
Row 19684, label PEFNTVTY, used 22356: United-States
Row 19684, label PEMNTVTY, used 22356: United-States
Row 19747, label PEFNTVTY, used 119: United-States
Row 19798, label PEMNTVTY, used 7117: Dominican-Republic
Row 19820, label PEFNTVTY, used 36999: Columbia
Row 19820, label PEMNTVTY, used 36999: Columbia
Row 19820, label PENATVTY, used 36999: Columbia
Row 19829, label PEMNTVTY, used 700: United-States
Row 19849, label PEFNTVTY, used 46: United-States
Row 19863, label PEFNTVTY, used 3: United-States
Row 19895, label PEFNTVTY, used 2565: United-States
Row 19895, label PEMNTVTY, used 2565: United-States
Row 19895, label PENATVTY, used 2565: United-States
Row 19909, label PEFNTVTY, used 34: United-States
Row 19909, label PEMNTVTY, used 34: United-States
Row 19922, label PEFNTVTY, used 473: United-States
Row 19922, label PEMNTVTY, used 473: United-States
Row 19922, label PENATVTY, used 473: United-States
Row 19949, label PENATVTY, used 4312: United-States
Row 19964, label PEFNTVTY, used 161390: United-States
Row 19964, label PEMNTVTY, used 161390: United-States
Row 19964, label PENATVTY, used 161390: United-States
Row 19977, label PEMNTVTY, used 993: United-States
Row 19995, label PEMNTVTY, used 42113: United-States
Row 20004, label PEMNTVTY, used 56283: Philippines
Row 20004, label PENATVTY, used 56283: Philippines
Row 20006, label PEMNTVTY, used 2605: United-States
Row 20167, label PEFNTVTY, used 5930: United-States
Row 20167, label PEMNTVTY, used 5930: United-States
Row 20167, label PENATVTY, used 5930: United-States
Row 20168, label PEFNTVTY, used 5544: United-States
Row 20228, label PEFNTVTY, used 7712: United-States
